Qty,Description,Manufacturer,MPN,Supplier,Supplier Part No,Unit (USD),Total (USD),Link
1,ESP32-S3-MINI-1-N4R2 module,Espressif,ESP32-S3-MINI-1-N4R2,LCSC,C3013941,5.15,5.15,https://www.lcsc.com/product-detail/C3013941.html
1,Capacitor 100nF 0603,YAGEO,CC0603KRX7R9BB104,LCSC,C14663,0.0094,0.0094,https://www.lcsc.com/product-detail/C14663.html
3,Capacitor 100nF 0603,YAGEO,AC0603KRX7R9BB104,LCSC,C149620,0.0156,0.0468,https://www.lcsc.com/product-detail/C149620.html
1,Current-sense resistor 0.47ohm,KOA,SR731JTTDR470F,LCSC,C186564,0.1195,0.1195,https://www.lcsc.com/product-detail/C186564.html
1,Capacitor 4.7uF 0603,Samsung Electro-Mechanics,CL10A475KO8NNNC,LCSC,C19666,0.0185,0.0185,https://www.lcsc.com/product-detail/C19666.html
2,Capacitor 10uF 0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,LCSC,C19702,0.0174,0.0348,https://www.lcsc.com/product-detail/C19702.html
1,3.3V LDO regulator,TOREX,XC6206P332MR-G,LCSC,C5446,0.1124,0.1124,https://www.lcsc.com/product-detail/C5446.html
1,N-channel MOSFET,VBsemi Elec,SI1304BDL-VB,LCSC,C710060,0.0246,0.0246,https://www.lcsc.com/product-detail/C710060.html
1,Power inductor 68uH,Shun Xiang Nuo,SM3521-680MT,LCSC,C72424,0.0402,0.0402,https://www.lcsc.com/product-detail/C72424.html
3,Schottky diode MBR0530,JSCJ,MBR0530,LCSC,C77336,0.0347,0.1041,https://www.lcsc.com/product-detail/C77336.html
9,Capacitor 1uF 0603,muRata,GRM188B31H105KAALD,LCSC,C913562,0.0619,0.5571,https://www.lcsc.com/product-detail/C913562.html
3,Resistor 10kohm 0603,YAGEO,RC0603FR-0710KL,LCSC,C98220,0.0036,0.0108,https://www.lcsc.com/product-detail/C98220.html
1,2-layer PCB (min order 5 pcs),JLCPCB,-,JLCPCB,-,2,2,https://jlcpcb.com
1,Waveshare 3.7 inch e-Paper raw panel 480x280,Waveshare,3.7inch e-Paper raw,Waveshare,-,18.99,18.99,https://www.waveshare.com/3.7inch-e-paper.htm
1,3.7V LiPo battery (small ~400-500mAh),-,-,-,-,3,3,
,,,,,,Total,30.22,
